User ID : 6855912 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886928683944071168, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/1DKkbbTEOI
User ID : 169419556 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886928010603089921, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/S4LAnVXHGF
User ID : 5532582 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886927489435668480, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/LIzPWPDHVY
User ID : 100716999 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886927181363937281, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/ATsQRDuKbv
User ID : 1399700150 , Lattitute : 35.6808548, Longitute : 139.76771137, Tweet Number : 886927158987325441, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/CFQDPFJRW8
User ID : 310986716 , Lattitute : 34.75995563, Longitute : 133.85299891, Tweet Number : 886926741377343488, Tweet Status : I'm at 岡山空港 in 岡山市, 岡山県 https://t.co/xbYgyyphYJ
User ID : 547410361 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 886926096427606017, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/bBLLV4BudR
User ID : 240568741 , Lattitute : 34.75995563, Longitute : 133.85299891, Tweet Number : 886925780000935936, Tweet Status : I'm at 岡山空港 in 岡山市, 岡山県 https://t.co/IzNbvxGAX3
User ID : 425713553 , Lattitute : 34.98468348, Longitute : 135.75932005, Tweet Number : 886923223245443073, Tweet Status : I'm at 京都駅 新幹線ホーム in 京都市, 京都府 https://t.co/UwGQeWvhEJ
User ID : 321178065 , Lattitute : 35.17069015, Longitute : 136.88130943, Tweet Number : 886923046925340673, Tweet Status : I'm at 名代きしめん住よし 新幹線上りホーム店 in 名古屋市, 愛知県 https://t.co/3cyqyMbDxY
User ID : 82134463 , Lattitute : 35.6808548, Longitute : 139.76771137, Tweet Number : 886921594165186560, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/NIG0mKCRVZ
