User ID :58478396, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91962E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :107047033, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.91957E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :2191464510, Lattitute :35.56688948, Longitute :139.7640574, Tweet Number :8.91956E+17, Tweet Status : I'm at 空港北トンネル in 大田区,,,
User ID :138982913, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91955E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :2937099271, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.91954E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :3110393142, Lattitute :35.76459397, Longitute :140.3860841, Tweet Number :8.91953E+17, Tweet Status : I'm at 成田国際空港 第1ターミナル 手荷物受取所 in 成田市,,,
User ID :212565407, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.91953E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :28779373, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91953E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :7.63672E+17, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.91952E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :16049486, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91947E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :166052077, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91945E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :1057114693, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91945E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :222985456, Lattitute :35.68113055, Longitute :139.7677513, Tweet Number :8.91943E+17, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区,,,
User ID :2546660645, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91941E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :120097402, Lattitute :35.68113055, Longitute :139.7677513, Tweet Number :8.9194E+17, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区,,,
User ID :5627012, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.91939E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :6789442, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91939E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :8.8475E+17, Lattitute :34.85995813, Longitute :136.8101245, Tweet Number :8.91938E+17, Tweet Status : I'm at 中部国際空港 滑走路 in 常滑市,,,
User ID :363540128, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91936E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :1487439595, Lattitute :34.85870127, Longitute :136.8144654, Tweet Number :8.91933E+17, Tweet Status : I'm at 矢場とん 中部国際空港店 in 常滑市,,,
User ID :300766678, Lattitute :35.77353396, Longitute :140.3883621, Tweet Number :8.91931E+17, Tweet Status : I'm at 空港第2ビル駅 in 成田市,,,
User ID :264208504, Lattitute :34.85944729, Longitute :136.8148579, Tweet Number :8.91931E+17, Tweet Status : I'm at 中部国際空港 セントレア - @centrairairport in 常滑市,,,
User ID :343211765, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91928E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :110078275, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91927E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :415522047, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91926E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :1059717038, Lattitute :34.85944729, Longitute :136.8148579, Tweet Number :8.91926E+17, Tweet Status : I'm at 中部国際空港 セントレア in 常滑市,,,
User ID :177178572, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91925E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :1155862854, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91924E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :287495267, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91921E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :97615436, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.9192E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :160549434, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91918E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :101661203, Lattitute :38.13813458, Longitute :140.929935, Tweet Number :8.91917E+17, Tweet Status : I'm at 仙台国際空港 in 名取市,,,
User ID :92742914, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91917E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :180195399, Lattitute :34.73326781, Longitute :135.5004125, Tweet Number :8.91915E+17, Tweet Status : I'm at ドトールコーヒーショップ 新幹線新大阪駅店 in 大阪市,,,
User ID :157894706, Lattitute :34.79141347, Longitute :135.4419744, Tweet Number :8.91914E+17, Tweet Status : I'm at 大阪空港駅 in 豊中市,,,
User ID :420287576, Lattitute :35.68113055, Longitute :139.7677513, Tweet Number :8.91913E+17, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区,,,
User ID :7.20967E+17, Lattitute :35.77324804, Longitute :140.3876173, Tweet Number :8.91913E+17, Tweet Status : I'm at 成田国際空港 in 成田市,,,
User ID :2938512061, Lattitute :34.88820633, Longitute :136.8258869, Tweet Number :8.91909E+17, Tweet Status : I'm at コストコ 中部空港倉庫店 in 常滑市,,,
User ID :94334333, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91907E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :3710241, Lattitute :37.95203185, Longitute :139.1131353, Tweet Number :8.91907E+17, Tweet Status : I'm at 新潟空港 in 新潟市,,,
User ID :269680622, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91906E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
User ID :114143385, Lattitute :34.63677065, Longitute :135.2286431, Tweet Number :8.91906E+17, Tweet Status : I'm at 神戸空港 in Kobe,,,
User ID :490327425, Lattitute :34.63658888, Longitute :135.2283418, Tweet Number :8.91901E+17, Tweet Status : I'm at 神戸空港 5番搭乗口 in 神戸市,,,
User ID :2898152828, Lattitute :35.54843152, Longitute :139.7804073, Tweet Number :8.91899E+17, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区,,,
