User ID : 1706876556 , Lattitute : 35.17010457, Longitute : 136.88130943, Tweet Number : 895290433525493760, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/sVCJ2CQbeU
User ID : 3006553555 , Lattitute : 36.39681208, Longitute : 138.2497108, Tweet Number : 895286004667613185, Tweet Status : I'm at 北陸新幹線 上田駅 - @jreast_official in 上田市, 長野県 https://t.co/br65OuZD0r
User ID : 159103441 , Lattitute : 34.70357023, Longitute : 137.73474704, Tweet Number : 895280728501518336, Tweet Status : I'm at 浜松駅 新幹線ホーム in Hamamatsu, 静岡県 https://t.co/DnvLYeN5C7
User ID : 62992251 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895270936005529600, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/sr9ya7r2JV
User ID : 3006553555 , Lattitute : 35.9059803, Longitute : 139.6231842, Tweet Number : 895265176953511936, Tweet Status : I'm at JR 大宮駅 新幹線ホーム - @jreast_official in さいたま市, 埼玉県 https://t.co/LTMwf6J2y7
User ID : 1117341643 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895264715512963072, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/sOrkjhayZU
User ID : 1636821162 , Lattitute : 35.17010457, Longitute : 136.88130943, Tweet Number : 895264578468282368, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/HrvjgN1lPh
User ID : 271675321 , Lattitute : 35.17010457, Longitute : 136.88130943, Tweet Number : 895264488928268288, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/7gQkLnWgjh
User ID : 49009062 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895263925553565697, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/9CKN38suG9
User ID : 6855912 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895263020577955841, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/bVnGwJLK3O
User ID : 101457744 , Lattitute : 35.68136688, Longitute : 139.76761153, Tweet Number : 895262014775414784, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/8Y417wJw3I
User ID : 3671517134 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895260985531011072, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/I6n2GgxvmX
User ID : 197087717 , Lattitute : 34.63653032, Longitute : 135.2282175, Tweet Number : 895259793287499776, Tweet Status : I'm at 神戸空港 6番搭乗口 in 神戸市, 兵庫県 https://t.co/ApjjvTuWOI
User ID : 1706876556 , Lattitute : 35.68034166, Longitute : 139.76780891, Tweet Number : 895259660713947136, Tweet Status : I'm at Starbucks Coffee JR東海 東京駅新幹線南ラチ内店 - @starbucks_j in 千代田区, 東京都 https://t.co/zAGdI5LtX8
User ID : 118551502 , Lattitute : 38.8158969, Longitute : 139.78773715, Tweet Number : 895259126904893440, Tweet Status : I'm at 庄内空港 in 酒田市, 山形県 https://t.co/f6wPoxpzgw
User ID : 245572619 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895258508786053120, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/CpWffxbysa
User ID : 1706876556 , Lattitute : 35.68136688, Longitute : 139.76761153, Tweet Number : 895257295810158593, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/BOBXE8R0bm
User ID : 4833558030 , Lattitute : 34.7953543, Longitute : 138.17957854, Tweet Number : 895256811812605952, Tweet Status : I'm at 富士山静岡空港 / 静岡空港 in 牧之原市, 静岡県 https://t.co/LWotDMignH
User ID : 100353815 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895256217592967169, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/GAksgt7mKn
User ID : 1304427168 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895253482797662209, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/EYzSfp1NDo
User ID : 18749632 , Lattitute : 34.13477459, Longitute : 134.61796045, Tweet Number : 895253006459047936, Tweet Status : I'm at 徳島阿波おどり空港 in 松茂町, 徳島県 https://t.co/aULQdDjLYo
User ID : 91076446 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895248467647492096, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/x4vD6EEF2Z
User ID : 544281276 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895247154540838912, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/dlTZOSJqQl
User ID : 71763756 , Lattitute : 35.17010457, Longitute : 136.88130943, Tweet Number : 895246974001328129, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/me8FmYZ479
User ID : 78598618 , Lattitute : 35.77266623, Longitute : 140.38762734, Tweet Number : 895246090366328833, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/ie7E9Gf3WO
User ID : 69288293 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895243968014938112, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/dxFRN9mWng
