User ID : 2420704112 , Lattitute : 34.86026146, Longitute : 136.81532131, Tweet Number : 872423334008500226, User Location : ここ, Tweet Status : I'm at 中部国際空港 セントレア - @centrairairport in 常滑市, 愛知県 https://t.co/HOyxg32tCV
User ID : 2394340950 , Lattitute : 35.24583929, Longitute : 136.92563538, Tweet Number : 872418894983593985, User Location : オタ活控える, Tweet Status : I'm at ミッドランドシネマ 名古屋空港 in Toyoyama, 愛知県 https://t.co/IQBrHBuZ4i
User ID : 238103129 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872418202856325120, User Location : , Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/vnMu7QOlwp
User ID : 2199475621 , Lattitute : 31.79123895, Longitute : 130.71966648, Tweet Number : 872416526946758656, User Location : , Tweet Status : I'm at 溝辺鹿児島空港IC in 霧島市, 鹿児島県 https://t.co/jPuiNvWudu
User ID : 3245197580 , Lattitute : 31.80122976, Longitute : 130.71588422, Tweet Number : 872414122222243841, User Location : , Tweet Status : I'm at 鹿児島空港 in 霧島市, 鹿児島県 https://t.co/8xbuiGOgpT
User ID : 155507452 , Lattitute : 35.9059803, Longitute : 139.6231842, Tweet Number : 872411593388249088, User Location : , Tweet Status : I'm at JR 大宮駅 新幹線ホーム in さいたま市, 埼玉県 https://t.co/H0u3Qt6sFw
User ID : 310686458 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872410925013270528, User Location : , Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/lj2E3uTxin
User ID : 122013394 , Lattitute : 35.17041855, Longitute : 136.88135205, Tweet Number : 872410845057253377, User Location : 三重→栃木→三重, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/k5ZTDFfCH0
User ID : 137831865 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872406883323314176, User Location : 北海道苫小牧, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/5I4UoPSeeL
User ID : 2787896394 , Lattitute : 35.71268785, Longitute : 139.77634801, Tweet Number : 872404384809988097, User Location : 日本, Tweet Status : I'm at JR上野駅 新幹線ホーム in 台東区, 東京都 https://t.co/zz4aD1KFBH
User ID : 119256780 , Lattitute : 36.93166239, Longitute : 140.02017148, Tweet Number : 872404337594707968, User Location : 栃木県 那須塩原市, Tweet Status : I'm at 那須塩原駅 新幹線ホーム - @jreast_official in 那須塩原市, 栃木県 https://t.co/xbdV5QVJCf
User ID : 417849222 , Lattitute : 38.25988806, Longitute : 140.8818566, Tweet Number : 872400537748217856, User Location : 宮城県仙台市, Tweet Status : I'm at JR仙台駅 新幹線ホーム in 仙台市, 宮城県 https://t.co/F7JvaE2wxX
User ID : 411481681 , Lattitute : 34.88820633, Longitute : 136.82588685, Tweet Number : 872396691500150784, User Location : 愛知県横須賀市, Tweet Status : I'm at コストコ 中部空港倉庫店 in 常滑市, 愛知県 https://t.co/ntOBsZAeyr https://t.co/bfXsEXM2B7
User ID : 723996859 , Lattitute : 25.77710838, Longitute : -100.11396493, Tweet Number : 872395430096756736, User Location : 日本だよ！, Tweet Status : I'm at モンテレイ国際空港 - @aeropuertodemty in Apodaca, NL https://t.co/gSjceHz68x
User ID : 587970515 , Lattitute : 32.79014271, Longitute : 130.68840265, Tweet Number : 872395377831534593, User Location : ひなたまこっこ, Tweet Status : I'm at 九州新幹線 熊本駅 in 熊本市, 熊本県 https://t.co/4DAlRH2DU4
User ID : 4254421 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872395106128723968, User Location : チッバ, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/u9tAD12nFg
User ID : 244857867 , Lattitute : 35.77284377, Longitute : 140.38731466, Tweet Number : 872390892438597632, User Location : , Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/wP10wFSEkH
User ID : 138701095 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872389664249962496, User Location : Japan Kanagawa, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/Uj0EnFbBBf
User ID : 245293069 , Lattitute : 43.04512603, Longitute : 144.19649117, Tweet Number : 872387376622047233, User Location : お米とお酒の国, Tweet Status : I'm at たんちょう釧路空港 in 釧路市, 北海道 https://t.co/zyJ6tBEc77
User ID : 119256780 , Lattitute : 35.68093543, Longitute : 139.7676964, Tweet Number : 872387326550446080, User Location : 栃木県 那須塩原市, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/LsP5HkkKbt
User ID : 51460145 , Lattitute : 33.47640112, Longitute : 131.73242857, Tweet Number : 872387101475647488, User Location : 幻想郷 ホテル チャペルダイブッツ 大阪, Tweet Status : I'm at 大分空港 手荷物受取所 in Kunisaki-shi, Ōita-ken https://t.co/J3PptOTpJw
User ID : 51460145 , Lattitute : 33.47654992, Longitute : 131.7324626, Tweet Number : 872387043204247554, User Location : 幻想郷 ホテル チャペルダイブッツ 大阪, Tweet Status : I'm at 大分空港ターミナルビル in 国東市, 大分県 https://t.co/d9rSdEAeiN
User ID : 51460145 , Lattitute : 33.47278148, Longitute : 131.73224223, Tweet Number : 872387015895130112, User Location : 幻想郷 ホテル チャペルダイブッツ 大阪, Tweet Status : I'm at トヨタレンタリース大分 大分空港店 in 国東市, 大分県 https://t.co/zYmz8Y6Urz
User ID : 180291971 , Lattitute : 25.06367859, Longitute : 121.5520276, Tweet Number : 872383483150258176, User Location : チーバくんの顎の下, Tweet Status : I'm at 台北松山空港 in 臺北市, T’ai-pei Shih https://t.co/ZCT8P015zH
User ID : 582710885 , Lattitute : 35.77284377, Longitute : 140.38731466, Tweet Number : 872381152773976064, User Location : NRT, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/26InxM9rCv
User ID : 81083156 , Lattitute : 34.86026146, Longitute : 136.81532131, Tweet Number : 872378291163975680, User Location : 釧路市, Tweet Status : I'm at 中部国際空港 セントレア - @centrairairport in 常滑市, 愛知県 https://t.co/jowfKr09Q3
User ID : 379116978 , Lattitute : 41.29560699, Longitute : 2.07521439, Tweet Number : 872378105947725824, User Location : , Tweet Status : I'm at バルセロナ＝エル・プラット空港 in El Prat de Llobregat, Catalunya https://t.co/odGJsRcKMO
User ID : 60023477 , Lattitute : 34.39849582, Longitute : 132.47497277, Tweet Number : 872376313365098496, User Location : 広島県安芸郡, Tweet Status : I'm at JR 広島駅 新幹線ホーム in 広島市, 広島県 https://t.co/MqsprBp25j
User ID : 83024007 , Lattitute : 34.85940095, Longitute : 136.81571854, Tweet Number : 872375579563237376, User Location : 愛知県常滑市, Tweet Status : I'm at ローソン 中部国際空港店 - @akiko_lawson in 常滑市, 愛知県 https://t.co/ky4lN6ZVMq
User ID : 83024007 , Lattitute : 34.8600223, Longitute : 136.81606376, Tweet Number : 872375411757502464, User Location : 愛知県常滑市, Tweet Status : I'm at 中部国際空港駅 in Tokoname, Aichi https://t.co/U1eg6TcxJQ
User ID : 3245197580 , Lattitute : 34.86026146, Longitute : 136.81532131, Tweet Number : 872373381047386112, User Location : , Tweet Status : I'm at 中部国際空港 セントレア - @centrairairport in 常滑市, 愛知県 https://t.co/3sjexSMdIm
